,index,Class,Text
342,8803,Household,Craftter New Light Brown Matka Silk Textured Fabric Shade Wooden Tripod Floor Lamp Decorative Standing Light Color Name:Brown   This is a very cool and exciting source of Floor Lamp! Totally unique.It has been finished in a wooden Tripod base that really makes it look very realistic. It coordinates beautifully with wooden stand. This beautiful Handmade shade is artfully created with a Handloom fabric and beautiful design. The floor lamp is instantly ready to plug into any outletl. It look nice in the bedroom or in the living room.
343,8823,Household,Craftter New Light Brown Matka Silk Textured Fabric Shade Wooden Tripod Floor Lamp Decorative Standing Light Color Name:Brown   This is a very cool and exciting source of Floor Lamp! Totally unique.It has been finished in a wooden Tripod base that really makes it look very realistic. It coordinates beautifully with wooden stand. This beautiful Handmade shade is artfully created with a Handloom fabric and beautiful design. The floor lamp is instantly ready to plug into any outletl. It look nice in the bedroom or in the living room.
344,8831,Household,"Roorkee Instruments (INDIA) Wooden Tripod Floor Lamp Stand with Shade and Bulb, Off-white Welcome to the store of home decorative lamp launches its brand royal tripod lamp stand in natural wood finishing. Made of wood and brass"
346,8897,Household,"Grab Classy - Mini Folding Book Lamp India - Single Light Eye-catching Souvenir Gifts for any one you care and best lamp for home & office decor. Travelling and Camping. Book Reading LED Folding. USB Rechargeable. The best surprise Lamp you have ever seen. Open the book and see a normal book transform into a Beautiful Lamp. Take it anywhere, easy to carry, works for 4-5 hours when fully charged. USB charge from Computer or power back or charger. Cable Included Superb for travelers / Camping / Book Readers .Reach out to us on Instagram or Facebook for instant help on any query or drop an email to care@grabclassy.com One thing that will definitely put a smile on everyone's face."
347,9014,Household,SaleOn Rechargeable LED Touch On/Off Switch Desk Lamp Children Eye Protection Student Study Reading Dimmer Rechargeable Led Table Lamps USB Charging Touch Dimmer(White) SaleOn Rechargeable LED Touch On/off Switch Desk Lamp Children Eye Protection Student Study Reading Dimmer Rechargeable Led Table Lamps USB Charging Touch Dimmer(white)-707 Charging time-8 Hours Battery Backup-4 Hours(Depends On led Brightness)
349,9066,Household,"Philips Slimline 20-Watt LED Batten (Pack of 4, Cool Day Light) Wide voltage protection of 160-360v with 2kv surge protection. Even and comfortable light perfected for your well being. Glare reduction and no visible flickering to prevent eye strain. Available in full size of 4ft (1214 mm) and in colour temperatures of 6500k, 4000k and 3000k."
350,9118,Household,lovelyhome Plastic Clip on Adjusted Rechargeable 3 Lighting Mode 9 LED Reading Light (White)
351,9119,Household,"Allextreme 7"" 18W 6 Led Spotlight Light Bar Driving Working Fog Lamp Suv Atv Car 4Wd Jeep Size:Pack of 1   AllExtreme 18W LED light bar off-road LED work light with excellent waterproof performance, ultra bright LED, heavy-duty die-casting aluminium housing. Wide application e. g. off road vehicles LED lighting, emergency lighting, boats lighting, equipment lighting, household lighting, etc. Parameters: LED Power: 18 Watts Working Voltage: 10-30V DC Waterproof Rating: IP67 Working Temp: -40 degree Celsius to 105 degree Celsius. Chips: Epileds 6pcsx 3W Color Temp: 6000K Material: Aluminium housing Mounting Bracket: Stainless Steel Lumens: 1530lm Lifespan: More than 50000 hrs."
352,9135,Household,"Allmart Enterprise Aluminium Non Stick Coated Baking Tray Bread Loaf Mould Baking Pan, Black This non stick coated loaf / bread tin has a multi purpose use of baking bread loafs, cakes etc. Made up of good quality Aluminium, this is the perfect baking stuff for your daily needs."
353,9137,Household,"Prestige PGMFB 800 Watt Grill Sandwich Toaster with Fixed Grill Plates,Black Prestige sandwich makers - Delicious toasted & grilled sandwiches are now simple to make. Prepare healthy and tasty sandwiches in the convenience of your kitchen. The non-stick coated plates need less oil while toasting making the sandwich healthy and are easier to clean too. Choose froma wide range of Prestige Sandwich Makers to add a touch of class and convenience to your kitchen.Manufactured By: M/S Karthik Home Appliances, Registered Office : Plot No 31, Sector 5, Parwanoo, Distt. Solan,(H.P) 173220,India.Made In India The voltage of the toaster is 230 volts"
356,9184,Household,"Kiva All Natural Organic Jaggery Candies, No Preservatives Added, Vegan Friendly Candy, Gluten Free, 20x8g Candies Per Pack (Organic Plain Jaggery)"
359,9235,Household,"AmazonBasics Silicone Baking Cup Set, 12-Pieces, Multicolor"
360,9246,Household,"Prime Enterprises Cake Bakeware Kitchen Combo, Multicolour - Set of 12 Kitchen special Combo pack of 12 items: 100 Pcs Paper Cupcake 6 inch x 2 inch Aluminium Cake Mould 6 Pcs Silicon Cupcake Mould | 1 Pc Chocolate Mould Noor Cloth Bag No.1 | 6 Pcs Set Measuring Spoon 100 Pcs Polythene Disposable Icing Bag | 6 Pcs Nozzle Set 1 Pc Silicon Brush | 1 Pc Silicon Spatula | one palette knife 8 inch | one Whisker"
361,9250,Household,"SYGA 12 Pieces Cookie Cutter Stainless Steel Cookie Cutter With different Shape Brand New High Quality 12 Piece Heart Star Round Flower Nesting Stainless Steel Pastry Cookie Cutter Set In Different Sizes.These cute metal Christmas symbolize shaped cutters are ideal for cake decorating, fondant icing, clay modelling and so on. Reusable, durable and non-stick. Great for making cakes, bread, biscuit, cookies, chocolate, etc..."
363,9301,Household,"AG Small Pentagram Cast Iron Cauldron Crafted of cast iron with an embossed pentagram on front and back. This cauldron is a discrete 3"" tall and 2 3/4"" wide, with internal dimensions of 2 1/4"" in diameter and 2"" in depth, this squat cauldron rests on three, 3/4"" legs. With a metal carrying handle this diminutive cauldron is perfect for small altars."
369,9504,Household,"MagiDeal Durable Easy Use Clean Stainless Steel Pour Over Drip Kettle Narrow Spout Coffee Tea Milk Pot 250ml Red Description: - Made of high quality stainless steel, more durable - Gooseneck spout for slow and precise water flow - Easy to use and clean - Perfect for brewing coffee, tea and milk - Material: Stainless SteelSpecification: - Upper Diameter: Approx. 7.1cm/ 2.80inch - Height: Approx. 7.3cm/ 2.87inch - Length(from Nozzle to handle):Approx. 16.5cm/ 6.50inchPackage Includes:1X Narrow Spout Coffee PotNote:Due to the light and screen setting difference, the item's color may be slightly different from the pictures. Please allow slight dimension difference due to different manual measurement."
370,9568,Household,"4tens's Kitchen Chef's Heat Resistant Silicone Basting Set BBQ Barbecue Oil Brush Pastry Roast Meat Dip Chef's Basting Set Oil Brush for Kitchen Baste like a chef with prepara's revolutionary basting set. Clean and tidy, with a squeeze- handled basting brush, this set provides quick and easy one-handed access for brushing a perfectly thin coat of oil onto your saut pan or basting your roasted poultry with delicious juices. Thanks to a glass reservoir base, you can even microwave butter to brush onto your freshly baked bread or pastries. 4.4 Oz capacity, dishwasher safe, bpa-free."
375,9698,Household,"Kuber Industries Cotton 3 Piece Roti Cover Set - Multicolour ""Kuber industries offers finest fashion accessories that incorporates contemporary designs and modern functions. Kuber industries brings products for every woman who dreams of being unique and stylish. It offers incredible range of handbags and jewellery boxes for women. Their products are incomparable in terms of quality."
376,9717,Household,"VISHAVASTAR Portable Household Sealing Machine For Kitchen Bin Bags, Bread Bags, Sandwich Bags and Nappy Bags. VISHAVASTAR Portable Household Sealing Machine For Kitchen Bin Bags, Bread Bags, Sandwich Bags and Nappy Bags. Have you ever wondered about sealing bags at home in a professional way ? This Portable Kitchen Bag Sealer , seals any bag with just a slide !! In one simple single motion with sliding, you can seal any bag at home. This Portable Kitchen Bag Sealer comes with custom mounting so you can mount it on a door or leave at the counter as well. This portable bag sealer is thin and lightweight which lets you carry anywhere thus provides portability as well. Description : Great for trash, sandwich, freezer, bread, and diaper bags. Can be attached to the side of a kitchen unit. Can be attached to the inside of a cupboard. Capable of sealing all sizes of bags from freezer bags to waste bags, It is incredibly easy to use. Stores away easily after use. How to use : Tightly twist the neck of any bag and then push the neck of the bag down through the slot on the Sealabag, the bag is now sealed Note : Color Will be send as per inventory availability."
377,9732,Household,JoyGlobal Round Cake Box Cake Box Holder Container (Pack of 50 Pieces) Item Package Quantity:50   PRODUCT DESCRIPTION : Perfect for displaying your cakes in or for to take their cakes . Great for home parties or cake sales.
381,9845,Household,"Signoraware Executive Stainless Steel Lunch Box Set, Set of 3, Red Style:Executicve Steel Set of 3                                                                                 |                            Color Name:Red   Signoraware is an ISO certified company that gives the assurance of 100 percent food grade crockery, air and spill-proof containers, innovative user-friendly design, international quality packaging and highly competitive prices to its customers. Signoraware is one of the leading plastware companies in India, with quality par excellence when compared to any other international plastware brand. With its well-equipped R and D department, team of technical experts and warehouse capacity of over 150,000 square feet. Signoraware is committed to setting new benchmarks of superior products for its valued customers. The kitchen is the heart of your home. Make it livelier with the all-new range of Signoraware products. Our widest range of products include lunch and outdoor, thirst quencher, smart series, magic sprinklers, easy flow, modular kitchen containers, mini wonders, cooking range, microwave reheating and serving and serving tableware. Inspired by you, our products are just as smart, versatile and reliable. In short, they are your joyful companions that care for you and your family. Available in attractive designs, they are non- toxic and their colours never bleed and get mixed to your food. What’s more, its superior range of air-tight, spill-proof and moisture-free storage containers keep your food fresh and tasty for longer."
385,9933,Household,"Noyyal Go Green (Tiger) Reusable Cotton Produce Bag,Combo Pack, Set Of 6 (2Large [14X12], 2Medium [12X10], 2Small [10X8] Inches) Plastic litter is huge toxic problem on land and in our rivers, lakes and oceans. Be proud to carry our Reusable Produce Bags that can be used to refrigerate or store fruits, vegetables. These muslin breathable bags helps keep your veggies and fruits fresh for days. These bags can also be used to store toys, toiletries , jewellery, present bags. Every week each family brings on an average 10-12 plastic bags home. As these bags are very compact, please carry these with you while going grocery shopping to avoid taking your fruits and veggies in small plastic pouches to put it on weighing scale at the store. Also this saves your segregation time after reaching home as fruits and veggies are already segregated. Taking our bags with you during grocery shopping saves this earth from lots of plastic bags. These bags can be of great pouches too.These bags are made by women who has lost their self respect and looking for a light in their life. Light up a woman's life by having these bags. These bags are named after the endangered species in India. Save them."
386,9948,Household,"Goank DrawerStore Expandable Cutlery Tray Drawer Storage Utility Organizer Drawer Store Expandable Cutlery Tray helps organize messy cutlery drawers with a practical and smart storage solution. The two halves of the tray can be finely adjusted to fit a variety of drawer sizes and lock securely together once in place. The design provides four deep-sided compartments for holding cutlery, a utensil area for knives or larger kitchen tools and a handy, movable storage dish for small, loose items. The Drawer Store fits a wide range of drawer sizes from 11.4-inch up to 18.85-inch. To use, place utensil tray in right hand corner of your drawer. Then, insert the cutlery tray and push down to lock into place. Wash and dry by hand."
387,9950,Household,"Cpixen Plastic Organizer Tray for Variety of Drawer Sizes (Multicolour) We have nearly 200 skilled craftsmen associated with us from different parts of india. How to use your earthenware: use earthen cookware only for cooking where the temperature rise takes place gradually. Sudden rise or fall of the temperature make lead to its cracking. never add broth or cold water into an earthen pot that is already heated. if you are using the dishwasher for washing the unglazed, earthenware do not put in other cookware with it. The rubbing may cause scratches on the earthenware. do not use scratchy powdered cleaner for cleaning your earthenware. Use only a mild soap. to removed food items stuck to your unglazed earthenware, simply soak it in water without detergent. The detergent might be absorbed by the earthenware and prove poisonous while being used the next time."
388,9952,Household,"Now and Ever Stainless Steel Modular Kitchen Portable Cutlery Tray, 14 X 19 X 2 Inches, Silver Stainless steel kitchen cutlery tray for 38cm drawer width. Meant for multipurpose use and inner drawer cutlery organiser. Suggested drawer dimensions:- 385mm x 500mm x 70mm (WxDxH)."
389,9954,Household,Planet Premium High Grade Stainless Steel Dish Drainer (Size:48 x 37 x 20 cm) Lifetime Warranty Material type:Stainless Steel                                                                                 |                            Size name:48 x 37 x 20 cm   High Quality Stainless Steel Big Dish Drainer. Ideal for storage of wet vessels.The product in display is storage basket or dish drainer made of stainless steel and finished in silver colour and is ideal to keep utensils.
391,9972,Household,"POG 3 in1 Spice Jars roll 'n' foil Dispenser Rack Holder - (Stainless Steel,Silver) POG spice roll n foil dispenser gives you a best solution to keep 6 types of spices, tissue roll and foil paper at one place. The design of rack is very compact and perfect so that it will not take too much space of your kitchen. Easy to install and easy to clean."
394,9999,Household,"Ontime Mop And Broom Holder, Multipurpose Wall Mounted Organizer Storage Hooks, Ideal Broom Hanger For Kitchen Garden And Garage 4 position and 5 Hooks holder Use in the laundry, garage, garden, utility room, office and more Wall organizer holds household stick goods with handles of varying thicknesses Insert handle into slot and the gravity controlled rolling ball automatically ajusts to the handle's thickness and holds it securely."
395,10009,Household,"Darkpyros 6 pcs Primium Quality Multipurpose Spice Rack Plastic Stackable and Space Savvy Dining Table Spice Rack for Kitchen,Dust Proof -Black FEATURES1. Made of virgin Unbreakable ABS Food Grade Materials. 2. Good design-looks and style 3. Strong brand reputation 4. 5 years Seller warranty 5. Good functionality-it does the job well 6. Durable-lasts as long as it should 7. Value of money 8. Non Toxic,stain and Corrosion resistant 9. Virgin materials Does not corrode or react with fruit 10. Stays looking new for years 11. Time saving and perfect cutting of same size slice of Apple. 12. High thermal efficiency 13. non reactive coating 14. Comfortable Handle for perfect griping 15. Dust proof coating prevents the surface from chipping or peeling."
396,10032,Household,Somkala Stainless Steel Coffee Cup Holder/Tea Cup Stand/Mug Holder Stand (12 Cup) Stainless steel cup stand 100% stainless steel with high quality finish and designing at its best. This cup stand can hold 12 cup at once. Very good looking product on dinning table and kitchen.
397,10076,Household,"Urban Platter Pink Himalayan Rock Salt Powder Jar, 1.25kg Here comes the show-stopper Urban Platter's pink Himalayan rock salt powder. It's gorgeous, it's bright pink and it's good for you. Made from finest quality organically and ethically sourced pink salt from the Himalayas. Pink salt powder is great for detoxing your body it helps lower blood pressure and is iron-rich, thus great for everyday consumption. Works great as a bath scrub, due to it's semi-coarse consistency and grind. Goes exceptionally well when added to Indian and Asian cuisine, since it perfectly and subtly seasons your food without adding to much salinity to it. Excellent to be served on side, looks stellar. Urban Platter - simply good food."
401,10171,Household,"Tupperware Modular Mate Spice Shaker Set (8) Red Storing, preserving and dispensing spices, herbs and seasoning blends is now easier than ever in these two great-looking container sizes. These handy containers are ideal for storing Simple Indulgene Seasoning Blends or other spices and herbs; or dispensing salt, pepper, cayenne, sugar or cinnamon at the dinner table. The Sheer Ice containers have polished windows on each side to let you view container contents, while the modular design allows stacking for compact storage"
405,10221,Household,"InstaCuppa Thermos Fruit Infuser Water Bottle 1 Litre, Stainless Steel Infusion Unit, Detox Infused Recipe eBook, 2 Lids (Black) Size:Thermos Bottle with Infuser - 1000 ML    Here is why Industry's first insulated water bottle with full length stainless steel fruit infuser. Keeps your drink cold for up to 24 hours. Keeps your drink hot for up to 12 hours. Vacuum Insulated & Double Walled Stainless Steel. Powder Coated Matte Finish.   Our starter kit that has everything you need to get going: Full Length Stainless Infusion Unit Sipper Cap with Handle. Wide Mouth Multi-Purpose Lid."
407,10326,Household,Stvin 4 in 1 Foil Cling Film Tissue Paper Roll Holder for Kitchen with Spice Rack -White
410,10434,Household,"Ramkuwar International Silicone Cooking Tongs，Kitchen Food Tongs，Stainless Steel Material with Heat Resistant Premium Silicone Grip for BBQ Grilling Turner Cooking Tips, 9"" Inch (Black) Color Name:BLACK   ""P-PLUS INTERNATIONAL cooking tongs are made of premium silicone and strong stainless steel frames, giving you great grip and control when handling food. And they protect your food and safe for your family. Let's enjoy the fun of cooking!   Advantage： 1. 9 inch tongs most meet your requirements indoor and outdoor. 2. """"O” Ring design, pull out to lock and push in to open, convenient to locking and easy hanging. 3. Non-slip surface design offers you the best grip on food. 4. Non-stick silicone tips are easy to clean and dishwasher safe. 5. Premium silicone heat resistant to 480F, and stain and odor resistant. Application: 1.To pick up cakes, bread, cooked food, etc. It is convenient and clean to be used for home and restaurant. 2.To barbecue meat in outdoor. It is easy to turn over the food and prevent your hands from being burnt. 3. To pick up hot dishes and be used for frying food, such as chicken wings, drumsticks, French fries, etc. It is safe and useful. Overall Dimension: Packing size:14.17(L)*2.56(W)*1.57(H) inches Package included: 1 x 9 inch Medium size """
413,10476,Household,"GTC Cooking and Serving Spoon (Stainless Steel, Set of 3 (Jhara Turner Laddle)) well designed to suit your comfort and convenience which is also qaulity made. Good for all types of kitchen. Almost a complete kitchen starter in tools and utilities"
414,10484,Household,"Karp BPA and Latex Free Food Grade Heat Resistant Silicone Turner, Spoons, Spatula and Ladle, Multicolour (Set of 5)"
416,10523,Household,"Mezon's 2 in1 Egg Slicer Kitchen Egg Cutter Sectioner Cutter Mold Maker Flower Edges Cooking Tool This handy egg slicer cuts egg slices in your house or while travelling.  High-quality Contains wires that easily slice boiled eggs Just put the egg on the slicer and snap the flipper.  You have several slices of eggs in a moment Cut eggs into slices and / or segments for sandwiches and salads.  here is a tool which can also pierce eggs.  Notice: When cutting eggs, you must have A certain speed to make sure that incision formation, egg piece uniform.  This is very handy & easy to use to make delicious eggs slice in your house or while you are traveling.  It can be folded easily to fit your Bag.  Sleek and stylish international design sets it apart from any competition. Convenient mid-size design with high quality wires.  This slicer give very beauty and attractive shape to eggs slice for serve to your guest or family member.  This is very helpful to make decor to your dish for impression."
417,10529,Household,"Vastrang Sarees Egg Cutter & Slicer, Plastic, Durable, Assorted Vastrang⚠Random color as per stock availability Hard-cooked eggs can be served whole or they may be cut and sliced.An egg cutter can be used to prepare evenly sliced sections that can be used in salads or as a garnish for a variety of recipes. The egg cutter is a tool that consists of a tray that is hinged to a cutter, which is constructed with a series of stiff wires.Each of the wires acts as a cutting instrument, slicing through the egg when pressure is applied to the cutter.The egg is placed on its side in the tray, and the cutter is closed down over the egg, producing slices of equal thickness.The egg can be rotated and sliced a second time or even a third time in order to chop the egg in pieces as small as you would like. Egg-cutting gadget designed to make slicing hard boiled eggs easy.Quantity : 1 Size : Length - 5.5 inch Width - widest 3 inch, narrow end- 2.5 inch Material : Food Grade Plastic"
418,10563,Household,"MORADIYA FRESH (LABEL) Fine Mesh Stainless Steel Colander Strainer Sieve Rice Food Basket Round Stainless Steel Fine Mesh Food Strainer Basket Vegetable Fruit Noodles Colander  PERFECT FOR GRAINS AND PASTAS: The holes in this colander are small enough that you can strain cooked grains, including rice, quinoas, pasta and most beans, pastas, as well as fruits and vegetables without any worries of clogging. Our robust sieve holds onto your spaghetti noodles and stops small foods from falling through. Perfect to rinse, sieve, cooking, and even as vegetable steamer! NO MORE FRUSTRATION OF WASTING FOOD: Perfect holes sizes for washing, rinsing, straining, draining, serving which save your quinoas, pasta and most beans, pastas without any worries of wastage of food, perfectly measured small and closely spaced holes will drop water faster so you don't have to worry about spaghetti won't fall through the holes. You can wash fruits and vegetables easily too. MICRO-PERFORATED HOLES DRAIN FASTER AND PREVENT FALL-THROUGH - Small closely spaced holes on every surface allow for super-fast drainage so you don't have to tilt the bowl to get all of the water out. A big difference over both old-fashioned colanders with gaping holes and mesh colanders.The sturdy solid ring base keeps the colander from tipping over so that you can fill it up without fear of dumping your food. Precision-cut drainage ports are added to the base to prevent backflow. LIGHT WEIGHT BUT STURDY: With heavy duty handles and elegant stand base Water will drop faster because of base, easy storage ways are also available like ear handles when you are not using it, you can easily hang it with any stand or wall. STAINLESS STEEL: Made of best stainless steel with strong handles, sturdy base, and rust proof too, which make him use-able for long time."
419,10594,Household,"PeeBuddy Stand and Pee Reusable Portable Urinal Funnel for Women Female reusable urination device allows women's of all ages to stand and urinate with its unique designed funnel - when you don't want to sit on an unfriendly toilets. A must have device for hospital and medical needs, highways and outdoor, railway and metro as well as public toilets. First portable, reusable female urination device for women using which women can stand and urinate in all public and common toilets. It is a revolutionary product for women who hate dirty toilets when travelling fights or train or highways for work or leisure treks, marathons, road trips, events or those with medical condition joint pains or pregnancy. Using Pee device you can simple stand and pee and avoid all UTIs or infections or yucky experiences at dirty toilets. It comes with simple open place pee throw instructions and is very convenient to use with no spills. Now use reusable pee device and stay away from infections, UTI. No more wiping of seat, no more squats, no more holding it in. Its a quality product by FSD."
421,10675,Household,"Sunflame LPG Rubber Hose Pipe, Orange Sunflame LPG Rubber Hose Pipe , 1-Pieces, Orange"
424,10700,Household,"Iktu Ice German Stainless Steel Cream Scoop (22x5x3cm, Black) This product is from Iktu brand. It is made of steel and is black in colour."
425,10722,Household,"Leeonzi Stainless Steel Ice Cream Scoop Multi Use Food Spoon Silver -- Ice cream scoop best for scooping ice cream, muffins, cookies, mashed potato dough, meatballs, etc, with quality guarantee -- Stainless steel scoop with trigger release labor saving easy to use best for kitchen bar buffet party wedding, heavy duty & different Size -- If you have any questions fell free just contact us and we will solve it for you  Features : Strong, Metal Construction. stainless steel material. Making this ideal for use at home, in a restaurant or an ice cream parlor.  Ideal for scooping frozen yogurt, ice cream, scoop and drop cookie dough, use as a meatball, as a fruit/melon baller and also great for dishing up pet food. Spoon ball diameter Weight:250g for the whole package Rust-free, Heavy Duty, Last for A Long Time!  These can also be used as a fruit baller for salads and it's easy to clean and store. The scoops are made out of food-grade stainless steel making it dishwasher friendly though hand wash is preferred.  Easy Enough for Kids to Use!  Make baking time fun in your home. Get all the family involved in some baking fun with our simple squeezy handle. Also safe and easy for children to use with the EASY-SQUEEZE HANDLE.  Package Detail: 1 Set (1pcs) Ice Cream Scoop"
426,10744,Household,"All Time Plastics Cool Ice Cube Tray Set, Set of 2, Green Color Name:Green   There is nothing quite like a cold refreshing drink at the end of a long day and this cool ice cube tray provides a simple way to keep your drink cold for that cool, refreshing taste. All Time Cool Ice Cube Tray is here to cool your soft drinks and fruit juices. Made from 100% food grade plastic for long lasting quality, this ice cube tray is flexible for easy release of ice cubes. This unique, space saving ice cube tray is stackable when in use, to occupy minimal space in your freezer, and nestable when not in use, occupying limited space in drawers. This cool ice cube tray is an essential accessory for your kitchen freezer. It is crafted for you by All Time, known for making quality kitchen accessories. A one stop shop for all your kitchenware needs at all times! 99% Safe is Meaningless; Safety has to be 100%, All Time! Safer, smarter, superior therefore the All Time Best."
428,10785,Household,"SMARTFLAME Manual Camping Gas Torch Blowtorch Welding Flame Gun Food Gun Suitable for baking cakes, barbecue, fire, thawing, thaw pipe etc, Need for gas butane gas, this product is a snap to replace the gas tank only needs 1-2 seconds convenient.Function: temperature adjustable, adjustable flame size, the flame can be wind."
431,10938,Household,"Smile Mom Vegetable Chopper, Cutter, Whisker Set for Kitchen, 5 SS Blade + Whisker Blade, Violet (900 ML) “(1) Designed for a perfect Chopping / Cutting / Blending job by simply pulling the cord! (2) Perfect for Processing with Stainless Steel Blades: onions, garlic, tomatoes, vegetables, salads, herbs, fruits, boneless meat, nuts and more in seconds. II Perfect for Processing with Whisking / Mixing Blade: eggs, flour, milk, fruits etc to make batters, sauces or smoothies in seconds (3) Made of high quality food-grade material, BPA free. No hazard for your health & safe for everyday use. No electricity required (4) Guaranteed satisfaction with sharp stainless steel blades, comfort soft grip lid, anti-skid base, easy pull cord and a comfortable handle (5) We stand behind our products 100% with 6- Month warranty against manufacturing defect. Feel free to contact us for any issues.“"
432,10973,Household,"Chef's Garage 2 Slot Kitchen Knife Sharpener with Diamond Coated Wheel - for Straight and Serrated Knives (Black) If you want to restore the sharpness of old knives then “Chef’s Garage” is the perfect choice. It has two wheels (sharpening section) – both of which help to sharpen your dull knife. First Wheel is diamond coated coarse sharpening section. This wheel provides a double edge finish which will last much longer than the current one. It is actually titled slightly at an angle so that when the knife is pulled, the edges will be sharpened each side of the knife. And the second wheel is known as ceramic system which is designed to sharpen the knife. Apart from that, it also repairs small nicks and imperfections present on the edge of the knife. This is section is also suitable for sharpening serrated knives.Key Features:Very easy to use.Non-slip base for added stability and control.Its ergonomic design provides utmost comfort and easy grip.Small in size 20 x 7 x 7 cms.Weights less - 250 gramsHow Does It Work ?Insert the blade in the first slot a diamond coated wheel (Also known as coarse slot black in color) to shape the angle of your knife's blade.Pull the knife straight back towards approximately 10 times.The second ceramic honing wheel (Also known fine slot white in color) polishes your knife revealing a smooth, clean blade from spine to the edge of knife.Pull the knife straight back towards approximately 10 times.If blade is still dull repeat these steps until blade is sharp."
433,10985,Household,"Ever Mall Multi Purpose Cookies, Indian Snakes Murukku Maker, Farsan Sev Maker, Manual Pasta Making Machine + Dish Scrubber Free!! Magic Press Multi Purpose Cookies,Farsan Sev Maker Material : Virgin Plastic convenient to use and magnificent performance is. It has a tall and cylindrical shape, deep container to hold the batter and an easy press to make the savouries of your choice. Magic Press, Kitchen Press, Multi Purpose Cookies kitchen press hand press 15pcs jariABOUT Evermall  Evermall is the br and of Evermall. Evermall have wide range of products selection with.  The products of Evermall are modern, stylish and for your comfort by trained staff."
434,11041,Household,"Oxo Good Grips Meat Tenderizer Size:None                                                                                 |                            Color Name:Black   Grind and Pound Meat to the Fullest If you love tender beef or ground up cutlets, the Oxo Good Grips meat tenderizer is the ideal kitchen tool for you. This high-quality tool can grind food items to perfection, thanks to its ergonomic, heavy duty design and body. You can comfortably hold onto this Oxo meat tenderizer with its brushed, stainless steel handle. For added comfort, this stainless steel handle sports flexible rubber fins, so that it forms a sturdy grip in your hand. It features a dual head, where one side sports a textured surface for tenderizing the food, while the other side is smooth for easy pounding.High-quality, Aluminium and Stainless Steel Tool The durable construction of this Good Grips Meat Tenderizer is made of sturdy aluminium, effectively protecting it from rust, corrosion and staining. Its soft, yet solid stainless steel and rubber handle absorbs pressure and the impact of grounding to prevent the exertion of pressure on your hand while you pound away. Moreover, its handle is created with a non-slip design, so that it does not slip and fall out of your hand. You can easily clean and maintain this meat tenderizer by simply hand washing it in warm water and mild soap.Brand: OxoMaterial: Aluminium, stainless steel and rubberAdditional Features: Flexible fins for comfort, Textured tenderizer surface, Smooth side for poundingCare Instructions: Hand wash"
435,11135,Household,"ExclusiveLane The 'Old Fashioned' Hand Glazed Studio Pottery Ceramic Oil Bottle (1000 ML) - Cooking Oil Dispenser Containers Vinegar Oil Dropper Can Handled Nozzle Oil Pot Stoppers & Pourers Double fired at 1200 degrees and handcrafted in ceramic , 'Old Fashioned' Ceramic Oil Dispenser is perfect to add uniqueness to your kitchen. The off white bottom and brown base adds a rustic appeal to the design. FEATURES: - Ideal for storing cooking oil. - Can also be used as a decorative vase. - Handmade in Ceramic. - Depicts hand glazed studio pottery double fired at 1200 degree celsius. - The product is lead free. - The oil bottle is not air tight. - Comes in Brown and Off White Colour. - Comes in the following dimensions: 3.9"" (L), 3.9"" (W), 10"" (H) Inch in size. - Volume of the bottle is 1000 ML. - There might be a slight variation in the dual tone glazing/colour/finishing of the product as the glazing is done in the furnace fired at 1200 degree celsius to make the product sturdy. ART TYPE : Hand Glazed Studio Pottery double fired at 1200 degree celsius. MATERIAL : Ceramic DIMENSIONS : (L * W * H) = (3.9 * 3.9 * 10) Inch COLOR : Brown & Off White NOTE : 1) It is not air tight. 2) The product is lead free. 3) The product is completely hand painted with floral Mughal art and handcrafted in Ceramic. 4) There might be a slight variation in the dual tone glazing/colour/finishing of the product as the glazing is done in the furnace fired at 1200 degree celsius to make the product sturdy. 5) Place the lid of the Jar tightly to prevent air/moisture to get into it. PACKAGE CONTENT : 1 Oil Bottle VOLUME : 1000 ML CARE INSTRUCTIONS : Handle with care."
436,11161,Household,"Navisha Multibranded 3 in 1 Vegetable and Fruit Peeler, Grater & Slicer Can be used as : - Peeler: Peels Fruits and vegetables - Grater: grates Cheese, vegetables and fruits - Slicer: slices vegetable, dry fruits etc."
437,11174,Household,"Bagonia 3-In-1 Rotational Vegetable Peeler, Julienne Slicer And Shredder,(Pack Of 1)"
438,11185,Household,"Tosmy Stainless Steel Pizza Cutter, Multicolour Style:pizza cutter   New Stylish Apple Cutter, made of High quality plastic and blades Separates the core and make equal slices, simultaneously. Very quick & very easy. Hygienic and Elegant stylish. Boon to apple lovers. Can also be used for pears and other soft fruits scientifically and aesthetically designed handle Very convenient grip for cutting."
444,11425,Household,1 Pair 304 Stainless Steel Colorful Eating Chopsticks Non-Slip Luxury Reusable Gift 23.5cm (Black) Color Name:black   Notice: Size:23.5*8*7cm/6.25*3.15*2.76 inch Please allow 1-3mm error due to manual measurement and make sure you do not mind before ordering. Please understand that colors may exist chromatic aberration Package included: 1 Pairs Chopsticks.
