,count,diff_srv_rate,dst_bytes,dst_host_count,dst_host_diff_srv_rate,dst_host_rerror_rate,dst_host_same_src_port_rate,dst_host_same_srv_rate,dst_host_serror_rate,dst_host_srv_count,dst_host_srv_diff_host_rate,dst_host_srv_rerror_rate,dst_host_srv_serror_rate,duration,flag_REJ,flag_RSTO,flag_RSTR,flag_S0,flag_SF,flag_SH,hot,is_guest_login,land,last_flag,logged_in,num_access_files,num_compromised,num_failed_logins,num_file_creations,num_root,num_shells,protocol_type_icmp,protocol_type_tcp,protocol_type_udp,rerror_rate,root_shell,same_srv_rate,serror_rate,service_courier,service_csnet_ns,service_discard,service_domain_u,service_eco_i,service_ecr_i,service_finger,service_ftp,service_ftp_data,service_http,service_imap4,service_iso_tsap,service_ldap,service_mtp,service_other,service_pop_3,service_private,service_smtp,service_systat,service_telnet,service_uucp,src_bytes,srv_count,srv_diff_host_rate,srv_rerror_rate,srv_serror_rate,su_attempted,urgent,wrong_fragment,prediction
77,1,0.0,15,255,0.03,0.11,0.0,0.26,0.0,67,0.0,0.19,0.01,8092,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0.0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.0,0.0,0.0,0,0,0,1
78,2,0.0,1332,7,0.0,0.0,0.14,1.0,0.0,255,0.04,0.0,0.0,0,0,0,0,0,1,0,0,0,0,21,1,0,0,0,0,0,0,0,1,0,0.0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,270,2,0.0,0.0,0.0,0,0,0,1
79,24,0.0,283,255,0.0,0.0,0.0,1.0,0.0,255,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,21,1,0,0,0,0,0,0,0,1,0,0.0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,337,29,0.1,0.0,0.0,0,0,0,1
80,267,0.06,0,255,0.06,0.99,0.0,0.07,0.01,19,0.0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,1,0,0.99,0,0.07,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19,0.0,1.0,0.0,0,0,0,0
81,231,0.07,0,255,0.07,1.0,0.0,0.02,0.0,6,0.0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,1,0,1.0,0,0.03,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0.0,1.0,0.0,0,0,0,0
82,1,0.0,0,1,0.0,0.0,1.0,1.0,0.0,25,0.52,0.0,0.0,0,0,0,0,0,1,0,0,0,0,17,0,0,0,0,0,0,0,1,0,0,0.0,0,1.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1480,1,0.0,0.0,0.0,0,0,1,0
83,4,0.0,1310,4,0.0,0.0,0.25,1.0,0.0,251,0.08,0.0,0.0,0,0,0,0,0,1,0,0,0,0,21,1,0,0,0,0,0,0,0,1,0,0.0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,219,4,0.0,0.0,0.0,0,0,0,1
84,26,0.0,1012,255,0.0,0.0,0.0,1.0,0.0,255,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,21,1,0,0,0,0,0,0,0,1,0,0.0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,258,26,0.0,0.0,0.0,0,0,0,1
85,5,0.0,1093,69,0.0,0.0,0.01,1.0,0.0,255,0.01,0.0,0.0,0,0,0,0,0,1,0,0,0,0,21,1,0,0,0,0,0,0,0,1,0,0.0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,324,8,0.38,0.0,0.0,0,0,0,1
86,58,0.07,0,255,0.11,1.0,0.0,0.24,0.0,62,0.0,1.0,0.0,0,0,1,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,1,0,1.0,0,0.33,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0.0,1.0,0.0,0,0,0,0
87,3,1.0,36,189,0.03,0.88,0.01,0.24,0.0,60,0.03,0.98,0.0,0,0,1,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,0,1,0,1.0,0,0.33,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,1.0,1.0,0.0,0,0,0,1
88,3,0.0,10503,255,0.0,0.0,0.0,1.0,0.0,255,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,21,1,0,0,0,0,0,0,0,1,0,0.0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,236,3,0.0,0.0,0.0,0,0,0,1
89,1,0.0,0,36,0.11,0.0,0.19,0.19,0.0,7,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,20,0,0,0,0,0,0,0,0,1,0,0.0,0,1.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1699,1,0.0,0.0,0.0,0,0,0,1
90,14,0.0,910,14,0.0,0.0,0.07,1.0,0.0,255,0.03,0.0,0.0,0,0,0,0,0,1,0,0,0,0,21,1,0,0,0,0,0,0,0,1,0,0.0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,327,15,0.13,0.0,0.0,0,0,0,1
91,8,0.0,2789,255,0.0,0.0,0.0,1.0,0.0,255,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,21,1,0,0,0,0,0,0,0,1,0,0.0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,303,8,0.0,0.0,0.0,0,0,0,1
92,103,0.06,0,255,0.06,1.0,0.0,0.02,0.0,4,0.0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,1,0,1.0,0,0.04,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0.0,1.0,0.0,0,0,0,0
93,1,0.0,0,255,0.02,0.06,0.0,0.05,0.0,13,0.0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,1,0,1.0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0,1.0,0.0,0,0,0,1
94,1,0.0,93,255,0.01,0.0,0.0,1.0,0.0,254,0.0,0.0,0.0,3,0,0,0,0,1,0,0,0,0,17,1,0,0,0,0,0,0,0,1,0,0.0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,28,1,0.0,0.0,0.0,0,0,0,1
95,1,0.0,83,110,0.13,0.0,0.01,0.23,0.0,25,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,21,1,0,0,0,0,0,0,0,1,0,0.0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0,0,0,1
96,6,0.0,4532,96,0.0,0.0,0.01,1.0,0.0,255,0.02,0.0,0.0,0,0,0,0,0,1,0,0,0,0,21,1,0,0,0,0,0,0,0,1,0,0.0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,282,6,0.0,0.0,0.0,0,0,0,1
97,3,0.0,113,255,0.01,0.0,0.0,0.99,0.0,253,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,21,0,0,0,0,0,0,0,0,0,1,0.0,0,1.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,5,0.4,0.0,0.0,0,0,0,1
98,1,0.0,0,30,1.0,0.0,1.0,0.03,1.0,1,0.0,0.0,1.0,0,0,0,0,0,0,1,0,0,0,18,0,0,0,0,0,0,0,0,1,0,0.0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,0.0,1.0,0,0,0,0
99,119,0.07,0,255,0.06,1.0,0.0,0.03,0.0,7,0.0,1.0,0.0,0,0,1,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,1,0,1.0,0,0.06,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0.0,1.0,0.0,0,0,0,0
